Product Name,Total_Revenue_USD,Total_Quantity,Order_Count
WWI Desktop PC2.33 X2330 Black,520094.47798831237,550,154
Adventure Works Desktop PC2.33 XD233 Silver,485803.3867380481,481,146
Adventure Works Desktop PC2.33 XD233 Brown,481831.79457878286,479,144
Adventure Works Desktop PC2.33 XD233 Black,463255.8177762527,462,151
Adventure Works Desktop PC2.33 XD233 White,451062.11688190594,451,141
WWI Desktop PC2.33 X2330 White,441834.83770032716,462,131
WWI Desktop PC2.33 X2330 Brown,441679.6242324666,460,151
"Adventure Works 52"" LCD HDTV X590 White",415358.62804410787,136,40
"Adventure Works 52"" LCD HDTV X590 Silver",385305.226193211,122,31
"Adventure Works 52"" LCD HDTV X590 Black",382866.5585533891,129,44
